complex_no	pyeong_no
119064	3
119064	4
119064	5
119064	6
119064	7
119064	8
119064	9
119065	1
119065	2
119065	3
119065	4
11907	1
119070	1
119070	2
119070	3
119070	4
119070	5
119071	1
119071	2
119072	1
119072	2
119073	1
119074	1
119074	2
119074	3
119074	4
119074	7
119077	1
119078	1
119078	2
11908	1
11908	2
119080	1
119080	2
119080	3
119083	1
119083	2
11909	1
11909	2
11909	3
11909	4
11909	5
11909	6
11909	7
11909	8
1191	2
1191	3
1191	4
1191	5
119100	1
119100	2
119100	3
119101	1
119101	10
119101	2
119101	3
119101	4
119101	5
119101	6
119101	7
119101	8
119101	9
119102	1
119102	2
119102	3
119103	1
119103	2
119103	3
119103	4
119104	1
119104	2
119104	3
119104	4
119104	5
119104	6
119104	7
119105	1
119105	2
119105	3
119105	4
119105	5
119108	1
119108	2
11911	1
11911	2
11911	3
11911	4
119113	1
119113	2
119113	3
119113	4
119113	5
119113	6
119113	7
119114	1
119114	2
119114	3
119114	4
119114	5
119114	6
119114	7
119118	1
119118	2
119118	3
119121	1
119124	1
119124	2
119124	3
119125	1
119125	10
119125	11
119125	12
119125	2
119125	3
119125	4
119125	5
119125	6
119125	7
119125	8
119125	9
119129	1
119129	2
119129	3
119129	4
119129	5
119129	6
119129	7
11913	1
119131	1
119131	2
119131	3
119131	4
119131	5
119131	6
119132	1
119132	2
119132	3
119132	4
119136	1
119136	2
119136	4
119136	5
119136	6
11914	1
11914	2
11914	3
119140	1
119140	2
119140	3
119140	4
119141	1
119141	2
119141	3
119141	4
119141	5
119141	6
119141	7
119141	8
119141	9
119144	1
119144	2
119144	3
119144	4
119144	5
119144	6
119144	7
119147	1
119147	2
119147	3
119148	1
119149	1
119149	2
119149	3
119149	4
119149	5
119149	6
119149	7
119149	8
119149	9
11915	1
11915	10
11915	11
11915	2
11915	3
11915	6
11915	7
11915	8
11915	9
119150	1
119150	2
119150	3
119150	4
119150	5
119150	6
119150	7
119151	1
119151	2
119152	1
119152	10
119152	11
119152	12
119152	13
119152	14
119152	15
119152	16
119152	17
119152	18
119152	19
119152	2
119152	20
119152	21
119152	22
119152	23
119152	24
119152	25
119152	3
119152	4
119152	5
119152	6
119152	7
119152	8
119152	9
119153	1
119153	2
119153	3
119154	1
119154	2
119155	1
119155	10
119155	11
119155	12
119155	13
119155	14
119155	15
119155	16
119155	17
119155	2
119155	3
119155	4
119155	5
119155	6
119155	7
119155	8
119155	9
119159	1
119159	2
119159	3
119159	4
119160	1
119161	1
119162	1
119162	10
119162	11
119162	12
119162	2
119162	3
119162	4
119162	5
119162	6
119162	7
119162	8
119162	9
119163	1
119163	2
119163	3
119163	4
119163	5
119163	6
119163	7
119163	8
119163	9
119166	1
119166	2
119166	3
119166	4
119166	5
119166	6
119167	1
119167	2
119167	3
119168	1
119168	2
119168	3
119168	4
119169	1
119173	1
119173	2
119173	3
119178	1
11918	1
11918	2
11918	3
11918	4
11918	5
11918	6
119181	1
119181	2
119182	1
119182	2
119184	1
119184	10
119184	11
119184	12
119184	13
119184	14
119184	2
119184	3
119184	4
119184	5
119184	6
119184	7
119184	8
119184	9
119185	1
119185	2
119185	3
119186	1
119186	2
119187	1
119187	2
119187	3
119187	4
119188	1
119188	2
119188	3
11919	1
11919	2
